DAC0_V,DAC1_V,Diff0_V,Diff1_V,ADS0_V,ADS1_V,ADS0_Raw,ADS1_Raw,DAC0_Raw,DAC1_Raw,Vref
1.69942,1.69942,-0.00031,0.00485,1.69973,1.69457,9065.20,9037.70,11100,11100,5.01666
1.71478,1.71478,-0.00103,0.00422,1.71581,1.71056,9151.00,9123.00,11200,11200,5.01681
1.73017,1.73017,-0.00094,0.00613,1.73111,1.72404,9232.60,9194.90,11300,11300,5.01703
1.74537,1.74537,-0.00174,0.00529,1.74711,1.74008,9317.90,9280.40,11400,11400,5.01671
1.76074,1.76074,-0.00082,0.00623,1.76156,1.75451,9395.00,9357.40,11500,11500,5.01688
1.77605,1.77605,-0.00124,0.00511,1.77729,1.77094,9478.90,9445.00,11600,11600,5.01688
1.79157,1.79157,-0.00042,0.00601,1.79199,1.78556,9557.30,9523.00,11700,11700,5.01748
1.80669,1.80669,-0.00107,0.00485,1.80776,1.80184,9641.40,9609.80,11800,11800,5.01694
1.82217,1.82217,-0.00020,0.00593,1.82237,1.81624,9719.30,9686.60,11900,11900,5.01739
1.83743,1.83743,-0.00104,0.00524,1.83848,1.83219,9805.20,9771.70,12000,12000,5.01726
1.85268,1.85268,-0.00025,0.00528,1.85293,1.84740,9882.30,9852.80,12100,12100,5.01709
1.86799,1.86799,-0.00073,0.00479,1.86872,1.86321,9966.50,9937.10,12200,12200,5.01709
1.88318,1.88318,0.00111,0.00614,1.88207,1.87704,10037.70,10010.90,12300,12300,5.01677
1.89849,1.89849,0.00067,0.00583,1.89782,1.89266,10121.70,10094.20,12400,12400,5.01677
1.91389,1.91389,0.00141,0.00655,1.91248,1.90734,10199.90,10172.50,12500,12500,5.01699
1.92915,1.92915,0.00101,0.00548,1.92814,1.92367,10283.40,10259.60,12600,12600,5.01686
1.94440,1.94440,0.00156,0.00606,1.94284,1.93834,10361.80,10337.80,12700,12700,5.01669
1.95987,1.95987,0.00102,0.00528,1.95885,1.95459,10447.20,10424.50,12800,12800,5.01713
1.97513,1.97513,0.00179,0.00595,1.97334,1.96918,10524.50,10502.30,12900,12900,5.01699
1.99059,1.99059,0.00137,0.00555,1.98923,1.98504,10609.20,10586.90,13000,13000,5.01737
2.00570,2.00570,0.00206,0.00557,2.00364,2.00014,10686.10,10667.40,13100,13100,5.01686
2.02134,2.02134,0.00161,0.00534,2.01973,2.01600,10771.90,10752.00,13200,13200,5.01767
2.03658,2.03658,0.00242,0.00615,2.03417,2.03044,10848.90,10829.00,13300,13300,5.01750
2.05360,2.05360,0.00265,0.00826,2.05095,2.04534,10938.40,10908.50,13400,13400,5.02166
2.07084,2.07084,0.00519,0.01082,2.06565,2.06002,11016.80,10986.80,13500,13500,5.02631
2.08615,2.08615,0.00452,0.00964,2.08162,2.07651,11102.00,11074.70,13600,13600,5.0262.42289,2.42289,0.00497,0.01098,2.41792,2.41191,12895.60,12863.50,15800,15800,5.02474
2.43424,2.43424,0.00182,0.00733,2.43242,2.42691,12972.90,12943.50,15900,15900,5.01653
2.44958,2.44958,0.00100,0.00666,2.44858,2.44292,13059.10,13028.90,16000,16000,5.01658
2.46483,2.46483,0.00176,0.00742,2.46308,2.45741,13136.40,13106.20,16100,16100,5.01647
2.48002,2.48002,0.00131,0.00643,2.47871,2.47359,13219.80,13192.50,16200,16200,5.01622
2.49540,2.49540,0.00205,0.00707,2.49336,2.48833,13297.90,13271.10,16300,16300,5.01638
2.50961,2.50961,0.00691,0.00796,2.50269,2.50164,13347.70,13342.10,16400,16400,5.01416
2.52555,2.52555,0.00827,0.00949,2.51728,2.51606,13425.50,13419.00,16500,16500,5.01544
2.54078,2.54078,0.00762,0.00899,2.53316,2.53179,13510.20,13502.90,16600,16600,5.01529
2.55623,2.55623,0.00856,0.00931,2.54767,2.54693,13587.60,13583.60,16700,16700,5.01557
2.57168,2.57168,0.00782,0.00871,2.56386,2.56298,13673.90,13669.20,16800,16800,5.01585
2.58633,2.58633,0.00798,0.00836,2.57835,2.57798,13751.20,13749.20,16900,16900,5.01458
2.60191,2.60191,0.00794,0.00846,2.59397,2.59344,13834.50,13831.70,17000,17000,5.01510
2.61744,2.61744,0.00875,0.00931,2.60869,2.60812,13913.00,13910.00,17100,17100,5.01553
2.63270,2.63270,0.00823,0.00831,2.62448,2.62440,13997.20,13996.80,17200,17200,5.01546
2.64770,2.64770,0.00849,0.00872,2.63921,2.63899,14075.80,14074.60,17300,17300,5.01487
2.66355,2.66355,0.00866,0.00894,2.65489,2.65461,14159.40,14157.90,17400,17400,5.01589
2.67813,2.67813,0.00740,0.00930,2.67073,2.66884,14243.90,14233.80,17500,17500,5.01454
2.69393,2.69393,0.00696,0.00914,2.68697,2.68479,14330.50,14318.90,17600,17600,5.01546
